State,Year,Climate_Change_Disasters,Min_Temp,Max_Temp,Average_Temp,PM2.5,Health_Quotient,HDI,Rural_Poppulation,Min_Rural_CVD,Max_Rural_CVD,Urban_Poppulation,Min_Urban_CVD,Max_Urban_CVD
Andhra Pradesh,2015,2,22.33,31.42,26.88,28.6,57.75,0.627,33951434.78,541266.571,2503357.892,16996096.4,169960.964,2243484.725
Andhra Pradesh,2016,2,22.33,31.5,26.92,28.9,60.16,0.633,34257976.29,546153.572,2525960.268,17149551.15,171495.512,2263740.752
Andhra Pradesh,2017,1,23.25,31.67,27.46,31.9,65.13,0.644,34561099.1,550986.07,2548310.572,17301294.51,173012.945,2283770.875
Andhra Pradesh,2018,0,24.92,36.7,30.81,31.8,64.17,0.646,34860787.75,555763.819,2570407.663,17451318.72,174513.187,2303574.07
Andhra Pradesh,2019,1,24,32.5,28.25,29,68.88,0.649,35157029.87,560486.623,2592250.63,17599617.59,175996.176,2323149.522
Andhra Pradesh,2020,4,22.67,29.92,26.29,29.4,69.95,0.655,35449813.87,565154.296,2613838.617,17746185.33,177461.853,2342496.464
Andhra Pradesh,2021,1,22.92,31.5,27.21,29.2,71.02,0.66,35739131.63,569766.708,2635171.026,17891017.87,178910.179,2361614.359
Andhra Pradesh,2022,1,21.8,34.42,28.11,37,72.09,0.666,36262555.84,578111.334,2673764.922,18153044.16,181530.442,2396201.829
Arunachal Pradesh,2015,0,17.92,29.25,23.58,12.4,50.6,0.66,1177643.25,18842.292,87145.6,350572.75,3505.728,46275.603
Arunachal Pradesh,2016,1,18.83,29.92,24.38,13,49.51,0.644,1205784.791,19292.557,89228.075,358950.209,3589.502,47381.428
Arunachal Pradesh,2017,1,19.33,32.17,25.75,12.9,46.07,0.655,1234023.428,19744.375,91317.734,367356.572,3673.566,48491.068
Arunachal Pradesh,2018,0,20.08,30,25.04,13.5,43.29,0.657,1262344.519,20197.512,93413.494,375787.481,3757.875,49603.947
Arunachal Pradesh,2019,0,20.83,34.58,27.71,13.5,40.59,0.661,1290736.506,20651.784,95514.501,384239.494,3842.395,50719.613
Arunachal Pradesh,2020,1,21.33,29.08,25.21,12.3,33.92,0.661,1319186.287,21106.981,97619.785,392708.713,3927.087,51837.55
Arunachal Pradesh,2021,1,20.17,30.58,25.38,13,32.39,0.662,1347681.534,21562.905,99728.434,401191.466,4011.915,52957.274
Arunachal Pradesh,2022,1,10.47,33.75,22.11,56,30.86,0.662,1371668,21946.688,101503.432,408332,4083.32,53899.824
Assam,2015,1,18.83,29.17,24,29.5,43.53,0.595,28664005.36,458624.086,2121136.397,4705034.64,49719.87,62106.457
Assam,2016,4,19.08,30.17,24.63,29.4,44.13,0.598,29124428.5,465990.856,2155207.709,4780610.499,50518.508,63104.059
Assam,2017,2,19.92,30.08,25,30.9,48.85,0.608,29582891.4,473326.262,2189133.964,4855864.596,51313.746,64097.413
Assam,2018,0,20.75,30.08,25.42,35,50.91,0.61,30039257.49,480628.12,2222905.054,4930774.512,52105.348,65086.224
Assam,2019,2,21.33,30.58,25.96,32,52.49,0.613,30493395.33,487894.325,2256511.254,5005318.674,52893.084,66070.206
Assam,2020,3,22.5,30.08,26.29,32.4,47.74,0.618,30945179.5,495122.872,2289943.283,5079476.496,53676.737,67049.09
Assam,2021,1,21.67,30.5,26.08,31.5,52.09,0.622,31394487.19,502311.795,2323192.052,5153227.815,54456.095,68022.607
Assam,2022,3,20.47,33.75,27.11,82,56.44,0.627,31130160,498082.56,2303631.84,5109840,53997.6,67449.888
Bihar,2015,2,24.67,34.17,29.42,78.2,34.7,0.554,101867733.3,1629883.733,7538212.266,12964566.67,129645.667,1711322.8
Bihar,2016,2,24.25,34.67,29.46,83.8,38.46,0.559,104272406.8,1668358.509,7716158.106,13270606.17,132706.062,1751720.014
Bihar,2017,3,24.08,33.83,28.96,77.3,32.11,0.569,106684616.2,1706953.86,7894661.602,13577604.75,135776.048,1792243.827
Bihar,2018,0,25.17,34.58,29.88,82.8,34.48,0.571,109103267.8,1745652.285,8073641.816,13885423.21,138854.232,1832875.864
Bihar,2019,2,24.92,34.25,29.58,81,36.39,0.574,111527283.6,1784436.538,8253018.988,14193924.38,141939.244,1873598.019
Bihar,2020,1,25.42,33.75,29.58,84,30.24,0.579,113955597.4,1823289.559,8432714.211,14502972.55,145029.726,1914392.377
